amfi_code,scheme_name,Maximum_Drawdown,Worst_Date
100016,HDFC Top 100 Fund - Regular Plan - Growth,-24.734440880673304,2022-09-15
100025,HDFC Short Term Debt Fund - Regular - Growth,-4.308263824636349,2023-07-28
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,-16.217208574644847,2022-05-12
101206,ABSL Frontline Equity Fund - Regular - Growth,-11.291596329323072,2023-07-05
101207,ABSL Small Cap Fund - Regular - Growth,-35.44691649336603,2026-05-11
101208,ABSL Liquid Fund - Regular - Growth,-0.16224980244717857,2023-09-12
102885,UTI Nifty 50 Index Fund - Regular - Growth,-10.85986215250232,2022-03-29
102886,UTI Mid Cap Fund - Regular - Growth,-28.00112356639287,2026-04-27
102887,UTI Flexi Cap Fund - Regular - Growth,-21.539827112383225,2022-07-04
118632,Nippon India Large Cap Fund - Regular - Growth,-17.41407508665723,2024-07-19
118633,Nippon India Large Cap Fund - Direct - Growth,-18.62974313859551,2024-02-29
118634,Nippon India Small Cap Fund - Regular - Growth,-23.34488614483311,2026-02-20
118635,Nippon India ETF Nifty 50 BeES,-11.650624505409091,2022-06-09
118636,Nippon India Gilt Securities Fund - Regular - Growth,-8.316361763638703,2024-02-09
119092,Axis Bluechip Fund - Regular - Growth,-14.401617909337261,2025-02-07
119093,Axis Bluechip Fund - Direct - Growth,-21.751396370148225,2023-05-22
119094,Axis Midcap Fund - Regular - Growth,-20.960883862039193,2022-08-11
119095,Axis Small Cap Fund - Regular - Growth,-51.677753708526566,2026-05-11
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,-4.328728923970093,2025-04-01
119551,SBI Bluechip Fund - Regular Plan - Growth,-15.012385498645331,2024-02-05
119552,SBI Bluechip Fund - Direct Plan - Growth,-11.803493502764296,2024-09-02
119598,SBI Small Cap Fund - Regular Plan - Growth,-28.706005721764548,2025-05-14
119599,SBI Small Cap Fund - Direct Plan - Growth,-52.57422117012851,2025-10-28
120503,ICICI Pru Bluechip Fund - Regular - Growth,-13.897862823061635,2023-11-09
120504,ICICI Pru Bluechip Fund - Direct - Growth,-12.588275606922517,2023-05-30
120505,ICICI Pru Midcap Fund - Regular - Growth,-18.188513572116292,2025-01-23
120506,ICICI Pru Value Discovery Fund - Regular - Growth,-19.82565826298267,2023-08-14
120507,ICICI Pru Liquid Fund - Regular - Growth,-0.09773140045925555,2025-10-20
120841,Kotak Bluechip Fund - Regular - Growth,-17.57361416468729,2025-02-14
120842,Kotak Emerging Equity Fund - Regular - Growth,-24.003511326274886,2024-10-17
120843,Kotak Flexicap Fund - Regular - Growth,-12.97396816518679,2022-04-13
120844,Kotak Liquid Fund - Regular - Growth,-0.11629327956168556,2024-04-30
125497,HDFC Top 100 Fund - Direct Plan - Growth,-15.200013055606398,2025-01-01
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,-21.11727956013212,2025-09-12
148567,Mirae Asset Large Cap Fund - Regular - Growth,-11.265729075028275,2023-10-20
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-15.27259422823477,2024-01-24
148569,Mirae Asset Tax Saver Fund - Regular - Growth,-16.39674294693263,2023-10-20
149322,DSP Top 100 Equity Fund - Regular - Growth,-14.844576917771747,2022-02-04
149323,DSP Midcap Fund - Regular - Growth,-17.24810575345138,2022-10-24
149324,DSP Small Cap Fund - Regular - Growth,-31.171900300634213,2025-01-03
